alpha,chi2
1.147147e+00,9.817633e+01
1.147548e+00,9.821294e+01
1.147948e+00,9.824944e+01
1.148348e+00,9.828583e+01
1.148749e+00,9.832210e+01
1.149149e+00,9.835827e+01
1.149550e+00,9.839432e+01
1.149950e+00,9.843025e+01
1.150350e+00,9.846607e+01
1.150751e+00,9.850178e+01
1.151151e+00,9.853737e+01
1.151552e+00,9.857284e+01
1.151952e+00,9.860820e+01
1.152352e+00,9.864344e+01
1.152753e+00,9.867856e+01
1.153153e+00,9.871356e+01
1.153554e+00,9.874844e+01
1.153954e+00,9.878321e+01
1.154354e+00,9.881785e+01
1.154755e+00,9.885236e+01
1.155155e+00,9.888676e+01
1.155556e+00,9.892103e+01
1.155956e+00,9.895518e+01
1.156356e+00,9.898920e+01
1.156757e+00,9.902310e+01
1.157157e+00,9.905687e+01
1.157558e+00,9.909052e+01
1.157958e+00,9.912404e+01
1.158358e+00,9.915743e+01
1.158759e+00,9.919070e+01
1.159159e+00,9.922383e+01
1.159560e+00,9.925683e+01
1.159960e+00,9.928971e+01
1.160360e+00,9.932245e+01
1.160761e+00,9.935506e+01
1.161161e+00,9.938754e+01
1.161562e+00,9.941989e+01
1.161962e+00,9.945210e+01
1.162362e+00,9.948418e+01
1.162763e+00,9.951613e+01
1.163163e+00,9.954794e+01
1.163564e+00,9.957962e+01
1.163964e+00,9.961116e+01
1.164364e+00,9.964256e+01
1.164765e+00,9.967383e+01
1.165165e+00,9.970496e+01
1.165566e+00,9.973595e+01
1.165966e+00,9.976681e+01
1.166366e+00,9.979753e+01
1.166767e+00,9.982811e+01
1.167167e+00,9.985855e+01
1.167568e+00,9.988886e+01
1.167968e+00,9.991902e+01
1.168368e+00,9.994905e+01
1.168769e+00,9.997893e+01
1.169169e+00,1.000087e+02
1.169570e+00,1.000383e+02
1.169970e+00,1.000677e+02
1.170370e+00,1.000971e+02
1.170771e+00,1.001262e+02
1.171171e+00,1.001553e+02
1.171572e+00,1.001842e+02
1.171972e+00,1.002129e+02
1.172372e+00,1.002415e+02
1.172773e+00,1.002700e+02
1.173173e+00,1.002983e+02
1.173574e+00,1.003265e+02
1.173974e+00,1.003546e+02
1.174374e+00,1.003825e+02
1.174775e+00,1.004102e+02
1.175175e+00,1.004378e+02
1.175576e+00,1.004653e+02
1.175976e+00,1.004926e+02
1.176376e+00,1.005198e+02
1.176777e+00,1.005468e+02
1.177177e+00,1.005737e+02
1.177578e+00,1.006004e+02
1.177978e+00,1.006270e+02
1.178378e+00,1.006534e+02
1.178779e+00,1.006797e+02
1.179179e+00,1.007058e+02
1.179580e+00,1.007318e+02
1.179980e+00,1.007577e+02
1.180380e+00,1.007834e+02
1.180781e+00,1.008089e+02
1.181181e+00,1.008343e+02
1.181582e+00,1.008596e+02
1.181982e+00,1.008847e+02
1.182382e+00,1.009096e+02
1.182783e+00,1.009344e+02
1.183183e+00,1.009591e+02
1.183584e+00,1.009835e+02
1.183984e+00,1.010079e+02
1.184384e+00,1.010321e+02
1.184785e+00,1.010561e+02
1.185185e+00,1.010800e+02
1.185586e+00,1.011037e+02
1.185986e+00,1.011273e+02
1.186386e+00,1.011507e+02
1.186787e+00,1.011740e+02
1.187187e+00,1.011971e+02
1.187588e+00,1.012201e+02
1.187988e+00,1.012429e+02
1.188388e+00,1.012656e+02
1.188789e+00,1.012881e+02
1.189189e+00,1.013104e+02
1.189590e+00,1.013326e+02
1.189990e+00,1.013546e+02
1.190390e+00,1.013765e+02
1.190791e+00,1.013982e+02
1.191191e+00,1.014198e+02
1.191592e+00,1.014412e+02
1.191992e+00,1.014625e+02
1.192392e+00,1.014836e+02
1.192793e+00,1.015045e+02
1.193193e+00,1.015253e+02
1.193594e+00,1.015459e+02
1.193994e+00,1.015664e+02
1.194394e+00,1.015867e+02
1.194795e+00,1.016069e+02
1.195195e+00,1.016269e+02
1.195596e+00,1.016467e+02
1.195996e+00,1.016664e+02
1.196396e+00,1.016860e+02
1.196797e+00,1.017053e+02
1.197197e+00,1.017246e+02
1.197598e+00,1.017436e+02
1.197998e+00,1.017625e+02
1.198398e+00,1.017813e+02
1.198799e+00,1.017999e+02
1.199199e+00,1.018183e+02
1.199600e+00,1.018366e+02
1.200000e+00,1.018547e+02
